83,72,58,0
100,86,77,0
102,88,72,0
52,45,29,0
42,34,26,0
54,48,36,0
54,47,38,0
107,90,72,0
70,58,40,0
83,61,47,0
59,54,30,0
53,50,41,0
47,36,33,0
88,71,55,0
29,24,20,0
34,30,22,0
59,46,37,0
52,40,30,0
33,26,23,0
56,46,36,0
82,68,53,0
98,86,69,0
62,52,46,0
30,25,19,0
44,38,30,0
32,23,17,0
42,33,27,0
52,49,40,0
27,21,22,0
63,49,42,0
79,67,57,0
36,31,23,0
75,63,57,0
48,37,27,0
54,46,35,0
45,34,26,0
39,35,31,0
59,48,31,0
49,37,26,0
51,46,36,0
60,52,41,0
26,21,15,0
70,61,51,0
50,41,28,0
55,48,35,0
59,49,37,0
46,37,31,0
44,36,27,0
46,30,21,0
41,30,19,0
73,58,45,0
61,48,41,0
26,21,17,0
44,31,24,0
55,39,32,0
72,62,60,0
62,49,42,0
65,53,49,0
63,51,42,0
29,17,13,0
61,39,23,0
61,51,44,0
60,49,41,0
100,87,76,0
63,50,42,0
68,53,39,0
64,52,38,0
50,27,25,0
98,80,69,0
66,53,48,0
53,45,32,0
54,44,30,0
68,63,50,0
57,41,28,0
18,10,9,0
93,75,60,0
69,55,41,0
61,53,36,0
76,61,47,0
47,41,27,0
72,60,43,0
50,41,32,0
75,66,50,0
64,58,38,0
55,38,27,0
58,53,34,0
40,35,16,0
74,62,48,0
77,67,41,0
89,81,75,0
76,68,67,0
50,52,43,0
74,75,63,0
79,78,72,0
100,89,75,0
34,31,27,0
37,30,28,0
61,62,46,0
45,36,30,0
45,42,34,0
90,80,78,0
104,96,90,0
88,86,80,0
45,46,44,0
100,95,83,0
85,73,64,0
69,63,54,0
93,84,77,0
65,64,57,0
97,91,80,0
74,74,57,0
68,63,56,0
70,63,58,0
68,54,45,0
80,69,58,0
51,45,37,0
41,37,30,0
77,67,53,0
98,82,76,0
99,83,78,0
38,42,33,0
55,56,47,0
95,89,78,0
52,48,39,0
55,51,36,0
70,63,63,0
105,97,87,0
77,75,66,0
59,59,56,0
77,78,72,0
71,63,45,0
77,78,71,0
79,70,64,0
55,54,43,0
51,56,47,0
79,74,68,0
70,55,44,0
60,58,43,0
82,75,67,0
27,24,21,0
26,26,18,0
98,84,76,0
40,46,37,0
36,38,33,0
41,43,36,0
84,78,58,0
91,86,72,0
34,40,33,0
72,73,54,0
77,78,64,0
54,52,38,0
33,35,21,0
80,80,65,0
71,71,63,0
31,31,30,0
62,62,58,0
43,45,39,0
56,52,48,0
48,45,42,0
65,62,52,0
49,52,43,0
152,131,99,1
179,153,129,1
145,122,84,1
140,103,64,1
111,76,32,1
132,106,71,1
117,91,51,1
135,100,70,1
145,119,89,1
137,104,66,1
140,110,74,1
167,137,104,1
155,126,99,1
141,109,86,1
119,82,53,1
73,28,8,1
161,135,107,1
117,84,50,1
124,94,61,1
137,109,77,1
88,50,21,1
120,87,52,1
133,95,71,1
113,74,52,1
128,90,61,1
135,101,71,1
103,55,30,1
132,94,65,1
148,120,96,1
152,120,87,1
143,114,79,1
136,102,70,1
138,103,79,1
135,99,76,1
126,101,70,1
127,78,51,1
145,105,82,1
122,95,46,1
133,97,69,1
123,88,63,1
126,102,71,1
116,90,69,1
118,93,53,1
150,129,103,1
93,63,41,1
124,94,69,1
125,94,67,1
92,56,37,1
104,73,44,1
123,97,75,1
105,68,48,1
100,69,42,1
82,47,31,1
81,46,28,1
118,86,63,1
107,75,51,1
112,80,51,1
138,113,85,1
152,125,94,1
152,130,103,1
93,57,35,1
82,63,39,1
136,115,101,1
78,49,28,1
140,122,99,1
120,85,56,1
139,120,95,1
140,127,112,1
123,96,72,1
124,96,74,1
133,102,87,1
86,55,41,1
127,102,81,1
73,34,23,1
125,95,78,1
109,83,66,1
128,101,77,1
110,84,67,1
73,49,27,1
109,84,66,1
95,69,58,1
122,96,85,1
114,77,61,1
93,60,37,1
107,72,55,1
154,126,93,1
108,76,65,1
85,57,39,1
72,37,22,1
121,89,74,1
174,149,123,1
163,137,110,1
132,85,63,1
132,103,88,1
98,68,48,1
112,85,72,1
163,138,107,1
182,156,125,1
114,84,63,1
108,82,65,1
76,41,24,1
113,84,62,1
107,75,58,1
104,68,53,1
96,66,46,1
127,96,74,1
98,72,52,1
134,100,70,1
104,88,69,1



